,sp_id,rp_id,seeker_post,response_post,reactions_level,explorations_level,interpretations_level
964,8pab6v,e0bayw5,Do you ever just laugh at how hopeless your situation is?. Sometimes it feels like the only thing left.,Sometimes I do laugh but upon realizing on what situation I am laughing I am again sad.,0,0,1
275,7px0ul,dslp51s,"I got upset but for the first time since I got ill with depression, I didn't cut.. Had another cry because I was so proud of myself.","That's wonderful news, you should be proud of that progress.",1,0,0
976,55kkc7,d8bd23m,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa. holy shit I'm a fucking mess,"I almost broke down crying just then for literally no reason. All of a sudden I started feeling anxiety - had to get up and walk around, knot in my chest, felt like a panic. Was super fucking close to texting my ex, only reason I didn't is because i know it would make me feel fucking shittier",0,0,0
362,9xe1be,e9rt46j,Depressed Mom. Does anyone else feel guilty for being a depressed Mom? It's like as much as I try to connect with my little one's (It could be) I can't :(,Yes I feel guilty all the time. I want to be and do these things that seem simple to others yet I struggle to wake up everyday just to take care of them. I have a hard time feeling a connection to one of my kids and I work really hard to make sure that's not felt by her,0,0,2
389,84c795,dvovs2p,One thing I will never ever do for sure:. Procreate. Being born is a curse. I hope I die very soon.,"The worst part is seeing people bring life into the world, when they don't have control of their own life.",0,0,0
431,90c9nh,e2pfemq,"My moms reaction. My mom knows I'm nearly suicidal and I suffer from OCD, Bi-Polar disorder, severe anxiety, and depression (yay) and her reaction to me ever telling her anything is either A. Do I need to take you to the hospital, or B. that's life. Bruh,",People know how to handle it. blame them.,0,0,0
158,9lu4cj,e79jlgs,"I never asked to be alive, so why do I have to stay alive?. It wasn't my decision to come into this world. If no one wants me here than why do I have to work this hard to be here?","Youa re comdemned to a life of freedom. Is an old quote i tihnk its from satre, but im not sure. And later there has been others who disagree. You are forced to become alive and aware that much is for sure. Unlike most animals you are a creature born with the abillity gather information and draw conclusion not jsut based on your senses, and that oftens leads to the question. Why am i alive? Not only that, you are forced into not just a world, but a particular part of the word, which then in turn will teach you values and conformaty, and for some people this works out well. If you can find it in yourself to look at the context you have born into and be satisfied with it, enjoy it and love it, if you can find shelter, food, sleep, joy, love and challenge in you enviroment. But for some of us, we don't fin those things, we suddenly find ourself in a enviroment that conflicts with our nature, the context of our existence is not operationable with the essence of our nature. You first statement i cannot, say is wrong, you didn't decide to exist, but netiher did you chose not to. And existing in of itself is not evil or good. But if the context of your life is making your life or nature feel haunted and painful. Then a there are options available. The first thing, no matter how you want to change your context for the better, rquires that you step back and see the context. Where are you from, what values have been impsoed on you, which makes sense to you which doesn't, how has these values been imposed, who has impsoed them. For these purposes your reasoning is a great tool. It easy to finda figure head or a single person to blame, but you really have to map it out, and see udnerstand ana analyse your einvirotment and the people in it, and then find the conflicts with your nature, the pain and sadness. Then you have to figure out a plan. And this is a tremendous task, not just do you have to think thoguhts you ahve not been taught to think, you have to be critical of a system that raised you and shaped you. You have to go against the nature of what normal is and accept yourself. And then you ahve to find out how you want to change the context of your life. alkohol amkes me miserable, and everyone i know drinks Find people you can exist with with out alcohol My father is violent Create an existence were you are independant from him School is terrible translate My class mates bully me daily Find another school thes are simple i know, and jsut examples. Now i know you asked why do i have to do all this hard work and i threw some of the most difficult work and ideas at you. But the things is all what ive jsut said is the reasonalbe arguemtn for you nature, essence and existence and a way to improve it. when you ask why, reason is not a tool that can answer. its like trying to build a ship using lead, sure maybe it can be done, but its deffinately not the best way. Refelection, abstract thought, contemplation, emotion, empathy. those are the tools to arrive at an answer. If reason was used, human life wouldn't really have value. If you were the head of state and only used reason, you would quickly realize, human lives are not what drives you foward, what makes progress and creates a super power. And lives could turn into numbers. Sure educated people anda strong work force is good reasonable arguments to have a population, but only if they are educated or strong. Using reason to determine worth of life can lead to terrible ideas or no answers. You have to work hard right now, because you are worth it depsise allt he pain you are in you are worth it, and you deserve to be your best you. And if you don't liek working 8 hours a day then sleep 8 hours and then have 8 hours for yourself. Then there are options, but because you born into this context you ahve to work hard to get to those oprions. It is hard to change your enviroment. You have to stay alive becuase, you know a humans life has worth and you are one. When you see another in pain you wish he wouldn't ahve to be, when i see your words and want to help you but am incapable i still try. You have worth because of all the thigns you have not done yet, and all the people who have not enjoyed you future self. Stay strong friend Love I wish i speleld better",0,0,0
191,8q78ps,e0h0l90,Depressed and IDK why. Does anyone else ever get Depressed and have no Idea why. I've felt this way for about a week now and have no idea why and no idea what to do,"My best suggestion is to talk it out with someone you trust, explain the feeling you have and express what you feel like doing. If you continue to feel this way, seek help from a professional. Hope you feel better",1,0,0
708,a027yu,eadzwnd,How do i live help. i feel dead please help,What's on your mind? &lt;3,0,1,0
860,4g88s4,d2fde40,i haven't spent less than 16 hours a day in bed in the past two weeks.. i'm so tired. i try to get up and do things and that helps but only for a little bit then i'm worn out again. on the plus side i've caught up on a lot of anime.,Sounds like you're in the midst of an episode. For me only time could help until I was (mentally) strong enough to get out of bed to my doc. YouTube in bed helped passed the time. Not sure if it was healthiest thing though.,0,0,1
