,sp_id,rp_id,seeker_post,response_post,reactions_level,rationales,explorations_level,interpretations_level,interpretations,reactions,explorations
0,5exngr,dafwzwz,"What is your experience?. For the past few months going back to last May 2016 I've been feeling different than normal. However, I don't know if I'm depressed or if it is something else. So my question is what does it feel like for you? How did you first realize that you were depressed?","I got really negative and lazy about life. I wasn't motivated to go to school and do my exams and I would stay up most nights with insomnia. I always assumed I was lazy, but I went into job seeking being optimistic and that quickly drove me to an attempted suicide - that's about when I realised. For most people, it's an overwhelming experience of emotions and negative thoughts about themselves, but depression comes in very different shapes and sizes.",0,,0,2,2,2,0
1,66qk13,dgky9gw,I wish everyday was rainy and dark so i could justify staying inside drinking and smoking all day. I dont like the spring sun,I've been that way since a toddler. Never wanted to go outside if it was sunny--only at night or on cloudy days. Still avoid sunlight to an unhealthy degree haha. My folks joke about how pale I am :} I'm seeing now that sunlight avoidance seems to be a common thread w/ depressed folks... at least in this sub. Odd since light therapy is a proven treatment for improving mood. I get horribly depressed every Spring so I feel like my brain is wired backward.,0,,0,2,2,2,1
2,aivjx4,eeqxjme,society trends are making me feel really super depressed?. please share some insight as to snap out of it. I think im not pretty :(,This seems like fishing for compliments...,0,,0,2,0,0,0
3,69wqun,dhbbr5j,The cruelest thing you can do to a person is give them hope. And then snatch it away.,"So true. Every time I think I've made a friend, a few weeks/months later, life is like, haha, gotcha! At this point I don't like trying. I want to cut off everyone (not that I have to try that hard, lol) and just be alone, but then when loneliness gets to me, it hurts physically and I hate that.",0,,0,2,2,1,1
4,70tokv,dn5yq9l,Skipped class today and feel like shit. Everyone in class prolly hates me anyways,"Nope, humans are naturally apathetic. If they noticed you're gone, it was likely a passing thing. You're golden trust me.",1,"Nope, humans are naturally apathetic. If they noticed you're gone, it was likely a passing thing. You're golden trust me.|",0,0,0,0,0
5,6i75r4,dj427ay,"Why take anti-depressants? I don't understand. Why? If you do, than you aren't yourself. I want to be myself. I don't want to be some drugged-up person who isn't really me.","I've been on antidepressants for a few months now and I'm still very much myself. Honestly, I'm more myself now than before I was taking them, because now I can see the real me instead of it being blurred out by some dramatic cloud of self depreciation and suicidal thoughts. I've still got a long way to go and my depression is definitely still here but yeah. People take them because they help. I don't know where this idea that they turn everyone into emotionless robots comes from",0,,0,2,2,1,1
6,99bkji,e4mdwvb,I'm alone. Let's chat?. If anyone is up keep my mind off of things momentarily. I'm pretty down.,"Hey, I've been feeling pretty lonely and down myself. Love the name by the way",0,,0,2,1,1,0
7,52dgvn,d7jdkp5,"How do you guys push through when you're hanging by a thread?. I've made it almost two years since my last suicide attempt and I want to keep pushing that number higher. When you guys are really pushed to your limit, is there anything you do so that you can keep going?","I'm feeling that way now. And this is just me, I actually don't recommend it for others, but we're sharing, so for me I am literally laying in my bed right now, watching rubbish on TV and disconnecting myself from the entire world because it's the only way I'll make it through the night.",0,,0,2,1,1,0
8,6h01sf,divexjn,"A broken soul. I think caring about someone, and they are your world and everything to you and then realising you are nothing to them hurts the most in the world. Then, when you get replaced so easily by someone else it feels like someone is stabbing you in the chest.","Yes. I'm going through this exact scenario right now. It's causing me to question my entire reality with him. It's such an earth shattering feeling. Like, what else can I not trust in my world? The worst part was that in my gut, I knew it. I've known it for longer than I've wanted to admit. I just hoped I was wrong and let myself get sucked in even further. I believed all the bullshit just because maybe he meant it when he told me he loved me. He didn't mean it. I can't comprehend doing that to someone I loved. So I totally understand how you feel. I'm here if you want to talk.",1,I'm here if you want to talk.|,0,2,2,2,1
9,aa1r64,ecoaqig,Flopping on social medias can be kinda depressing. I have 30 Instagram followers. How to get more?,"Why is that depressing? You should not let the amount of followers determine how you feel, especially not to this extent. It is not a reflection of what you are worth nor how successful your life is. Even if you would get more followers, what would this solve? You would not even know who most of those people are. I also doubt that an illusion like this could provide anyone with actual happiness. And Instagram has a pretty messed up algorithm anyway, I would personally not even bother.",0,,1,0,0,0,0
10,5re5nv,dd6kgtd,"3rd week im skipping school. Kill myself&gt;going to school, I wish I had drugs now...","As a 24 year old that needs to go back to college and pay his way there. It is absolutely imperative you succeed in school to get tuitions for college. I know what you're feeling, well actually mine was worse since I had little friends but if I could back and give myself advice I'd tell myself to man up and do well, work out and socialize because the rest of your life is so dependant on how well you do at your age right now. Please believe in yourself and press forward. Although you have all the time in the world to make changes. Waiting it out will only lead to insanity and depression. It's a problem you don't want to deal with when your older. It's best done in the present.",1,I know what you're feeling|,0,2,0,0,0
11,8nev2x,dzv1h7h,"Please let me die. Please let me fucking die and be done with this. I genuinely feel nothing, ever. I just understand why here. Every single day hurts. Please let me die",Do you want to tslk to someone? I know this feeling really well.,1,Do you want to tslk to someone?|,0,1,1,1,1
12,6z3vr0,dmsau9l,Suicidal teen. Any of you teens out there- how are you managing to get through life and survive school at the same time with depression? I am struggling so badly on trying to accomplish anything while depressed. It is almost impossible.,"I mostly just try to keep myself busy with the things I enjoy. Digital drawing, writing, browsing, and watching my favorite shows. I've started doing these in school too just to distract myself from the crippling loneliness every day. I just started 10th grade so I'll have to relearn how to keep my grades up when crying and hating myself are on my mind 24/7...just know you're not alone in this. We'll get through it, somehow.",1,".just know you're not alone in this. We'll get through it, somehow.|",0,2,2,1,1
13,7uizct,dtl7jm1,Why do I always make myself sad. I keep trying to fix things with people who are obviously just done with me. I always end up feeling worse. I just want to die.,"Stop trying to fix things with bad people and bring positive people into your life. If you can't do that, having no one is better than having the worst people.",0,,0,0,0,0,0
14,a1e950,eap40p5,My life is falling apart and it's all my fault.. The world would be better off without me.,No it wouldn't. What happened?,1,No it wouldn't|,1,0,0,1,1
15,5bugot,d9rbxc7,Hello!. How are you all? :),"Tired......I'm going to eat and then go to bed. Fuck my homework. I'll maybe do it tomorrow morning, probably not.",0,,0,2,0,0,0
16,81jwci,dv3m81c,Anyone else feel disturbed at random times?. I feel like reliving a traumatic experience sometimes (even tho I really had one) and have a sense of hopelessness and fear in me. I have a lot of nightmares and depressing dreams and sometimes I wake up feeling sad and ill. This happen to another else?,"yes! so sorry that's happening to you, but it feels good to relate - I see a lot of posts about having great dreams. I have at least one bad dream almost every night - and the feeling *always* bleeds into my day, especially if it was confusing or made me question reality. I have dreams all the time about my little sisters getting hurt, and it makes me worry for them. just today I had some kind of sleep paralysis (I don't know if that's the right word, I looked it up but it didn't seem to fit) and honestly I'm scared to fall asleep tonight because I do not want it to happen again. it's happened several times and it terrifies me. you're not alone, friend.",2,so sorry that's happening to you|,0,2,2,2,1
17,6j5dru,djc424o,"I saw a tree full of blooming pink flowers. It was beautiful.. I'm really trying hard to look around and see the good things that are in the world. My life might be in turmoil, my mentality negative, my hopes low... but still, to notice and recognize something as simple as a tree with flowers... that's special. I just wanted to share.",I love going to forest Parks and looking at all the plants and animals. It helps to a certain extent.,0,,0,2,1,0,0
18,9rmika,e8i1goa,"So tonight i'm going to tell a friend i got depression. And I'm so scared actually, I wanna to let at least one person know that I got depression but I'm really scared about his reaction and what he would think. How did you guys explained it to ur friend(s) ?","What is it about telling a friend about your struggles with depression that makes you feel like they will react adversely? If they are a trusted friend, they will care and listen to you and be supportive of you. The benefits to discussing this with a trusted friend is they can help you get the help you need and be there for you in the ups and downs. Everyone has had depression, just for some it can be more severe, longer, and more disruptive to one's life. Try to get them to relate by asking about their moments of depression. A good way to discuss this with them is in a quiet place over coffee or food. All the best to you.",1,A good way to discuss this with them is in a quiet place over coffee or food. All the best to you.|,0,0,1,1,2
19,7s7ohy,dt2pily,My birthday is in 15 days.. I have never felt so unexcited &amp; Apathetic about my birthday in my entire life. Happy early birthday to me..,What day is your birthday? I turn 17 on February 6th! Do we have the same birthday?,0,,2,0,0,0,0
20,9j8ddy,e6piyo9,Dont Know What To Do Anymore.... Im fucking done.. Im sitting hear about to end this right now. I dont know what to do right now. I wrote out a note but its shit. Im done. No one cares about me. Any advice please... I really need it right now,"Happy to listen if you care to type, pm me any time, also I care about you.",1,"Happy to listen if you care to type, pm me any time, also I care about you.|",0,0,1,1,0
21,5o1uev,dcg701g,Some one kill me please. Fuck this life fuck existence fuck everything fuck fuck,I want to sign up to that as well.,0,,0,2,0,0,0
22,6ncxp9,dk8wrfq,"i try to help but never do. always just run out of things to say, im sorry","I try too but often erase what I say before posting, as if I know all the answers when I'm here for help too. I feel terrible about staying silent but when its serious as life and death I can never post out of fear..",0,,0,2,1,1,0
